,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject04,11.109206234055032,12.708184217942085,15.33477221060198,16.572532253396766,6.663546138785206,12.559554880918549,10.136549359216223,16.10723335189357,19.832936001670294,18.288002143973355,9.593112383584256,17.323555115749876,21.44598489111012,19.035531274284327,21.454835077965928,20.591119548900455,16.288776363653536,17.7465608078762,17.56073993971863,1.200949986150136
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject05,6.141220770896364,5.314039842709932,5.210909691676836,6.417829379786124,3.963277411670722,2.860898271720663,3.5715162763396626,5.583226930320836,5.915978580484405,7.281037703002886,4.100742675197613,6.95986060788664,7.001545773175111,10.797165749436871,7.910201411432199,8.137667113110604,6.239424219176969,6.384133090452596,8.592783520401232,2.034059752753383
Subject06,3.8134694878623265,3.690351606189904,5.794229286260437,3.6118818209404453,2.6537648856029055,2.7739962818131905,2.933026725714098,2.672517639989943,3.178609987788446,2.7660733635997587,4.111596721253957,3.069149681181316,3.996785589254224,3.0342762729393984,4.421764320387743,4.15945161588205,3.3887205860961926,3.0852200799901635,3.4462082518329,0.6980140195599961
